Category: All categories

Week,Artificial intelligence: (Worldwide)
2018-09-30,11
2018-10-07,12
2018-10-14,12
2018-10-21,12
2018-10-28,11
2018-11-04,12
2018-11-11,12
2018-11-18,11
2018-11-25,12
2018-12-02,11
2018-12-09,11
2018-12-16,11
2018-12-23,10
2018-12-30,9
2019-01-06,11
2019-01-13,11
2019-01-20,11
2019-01-27,12
2019-02-03,12
2019-02-10,13
2019-02-17,14
2019-02-24,13
2019-03-03,13
2019-03-10,13
2019-03-17,13
2019-03-24,13
2019-03-31,12
2019-04-07,12
2019-04-14,11
2019-04-21,12
2019-04-28,11
2019-05-05,12
2019-05-12,11
2019-05-19,11
2019-05-26,12
2019-06-02,11
2019-06-09,12
2019-06-16,12
2019-06-23,12
2019-06-30,11
2019-07-07,11
2019-07-14,11
2019-07-21,11
2019-07-28,10
2019-08-04,11
2019-08-11,11
2019-08-18,11
2019-08-25,11
2019-09-01,11
2019-09-08,12
2019-09-15,12
2019-09-22,12
2019-09-29,12
2019-10-06,13
2019-10-13,11
2019-10-20,11
2019-10-27,11
2019-11-03,12
2019-11-10,12
2019-11-17,12
2019-11-24,12
2019-12-01,12
2019-12-08,12
2019-12-15,12
2019-12-22,10
2019-12-29,10
2020-01-05,11
2020-01-12,12
2020-01-19,11
2020-01-26,12
2020-02-02,12
2020-02-09,12
2020-02-16,12
2020-02-23,12
2020-03-01,12
2020-03-08,11
2020-03-15,11
2020-03-22,11
2020-03-29,11
2020-04-05,12
2020-04-12,13
2020-04-19,12
2020-04-26,12
2020-05-03,12
2020-05-10,12
2020-05-17,13
2020-05-24,12
2020-05-31,12
2020-06-07,12
2020-06-14,12
2020-06-21,12
2020-06-28,11
2020-07-05,12
2020-07-12,12
2020-07-19,11
2020-07-26,12
2020-08-02,12
2020-08-09,11
2020-08-16,11
2020-08-23,11
2020-08-30,12
2020-09-06,12
2020-09-13,12
2020-09-20,12
2020-09-27,11
2020-10-04,12
2020-10-11,12
2020-10-18,12
2020-10-25,11
2020-11-01,11
2020-11-08,11
2020-11-15,11
2020-11-22,12
2020-11-29,13
2020-12-06,12
2020-12-13,12
2020-12-20,12
2020-12-27,10
2021-01-03,12
2021-01-10,12
2021-01-17,12
2021-01-24,12
2021-01-31,13
2021-02-07,13
2021-02-14,13
2021-02-21,13
2021-02-28,13
2021-03-07,15
2021-03-14,15
2021-03-21,14
2021-03-28,13
2021-04-04,13
2021-04-11,13
2021-04-18,13
2021-04-25,12
2021-05-02,12
2021-05-09,13
2021-05-16,13
2021-05-23,14
2021-05-30,14
2021-06-06,14
2021-06-13,13
2021-06-20,13
2021-06-27,12
2021-07-04,13
2021-07-11,13
2021-07-18,13
2021-07-25,13
2021-08-01,12
2021-08-08,12
2021-08-15,14
2021-08-22,13
2021-08-29,13
2021-09-05,13
2021-09-12,14
2021-09-19,14
2021-09-26,14
2021-10-03,14
2021-10-10,15
2021-10-17,15
2021-10-24,15
2021-10-31,14
2021-11-07,15
2021-11-14,15
2021-11-21,15
2021-11-28,15
2021-12-05,16
2021-12-12,15
2021-12-19,14
2021-12-26,14
2022-01-02,20
2022-01-09,21
2022-01-16,19
2022-01-23,19
2022-01-30,18
2022-02-06,21
2022-02-13,22
2022-02-20,21
2022-02-27,21
2022-03-06,20
2022-03-13,22
2022-03-20,23
2022-03-27,22
2022-04-03,22
2022-04-10,23
2022-04-17,22
2022-04-24,22
2022-05-01,21
2022-05-08,22
2022-05-15,22
2022-05-22,22
2022-05-29,21
2022-06-05,22
2022-06-12,27
2022-06-19,24
2022-06-26,22
2022-07-03,22
2022-07-10,21
2022-07-17,23
2022-07-24,23
2022-07-31,23
2022-08-07,24
2022-08-14,24
2022-08-21,25
2022-08-28,26
2022-09-04,25
2022-09-11,26
2022-09-18,25
2022-09-25,26
2022-10-02,27
2022-10-09,29
2022-10-16,28
2022-10-23,26
2022-10-30,27
2022-11-06,28
2022-11-13,26
2022-11-20,28
2022-11-27,35
2022-12-04,51
2022-12-11,47
2022-12-18,39
2022-12-25,36
2023-01-01,39
2023-01-08,44
2023-01-15,45
2023-01-22,48
2023-01-29,56
2023-02-05,59
2023-02-12,58
2023-02-19,56
2023-02-26,59
2023-03-05,55
2023-03-12,60
2023-03-19,66
2023-03-26,77
2023-04-02,72
2023-04-09,76
2023-04-16,95
2023-04-23,91
2023-04-30,89
2023-05-07,92
2023-05-14,95
2023-05-21,93
2023-05-28,93
2023-06-04,95
2023-06-11,99
2023-06-18,95
2023-06-25,89
2023-07-02,93
2023-07-09,99
2023-07-16,100
2023-07-23,88
2023-07-30,90
2023-08-06,88
2023-08-13,90
2023-08-20,91
2023-08-27,87
2023-09-03,88
2023-09-10,91
2023-09-17,92
2023-09-24,89
