,Organization Name,Full Description,Topic Name,Top_n_words
318,Community Learning Center Institute,"The Community Learning Center Institute works with school districts and cities to help develop and implement a sustainable model of community schools, also known as community learning centers. Our experience includes directing community engagement and generating and managing school-community partnerships for Cincinnati Public Schools, one of the country's only district-wide community learning center initiatives, in addition to consulting to districts and cities nationally and internationally. Community learning centers use school facilities as round-the-clock neighborhood hubs, partnering with community organizations to provide health resources, social services, continuing education, after-school care, and civic and cultural opportunities for students, their families, and the surrounding community all within the school. We aim to strengthen communities by deepening the connection between schools and their neighborhoods.",16_school_academy_education_schools,school - academy - education - schools - students - charter - community - high - learning - programs
412,Village Capital,"Village Capital uses the power of peer support to change the traditional dynamics between investors and entrepreneurs, providing access to entrepreneurship for everyone.  We recruit entrepreneurs solving specific problems in agriculture, energy, education, financial inclusion, and health. We then put the power of investment in the hands of the entrepreneurs, who award pre-committed seed funding to the two ventures ranked highest by the entrepreneurs at the end of every program. Our programs connect high potential, early-stage entrepreneurs with the people, institutions, and capital they need to succeed. We support early-stage ventures with a 501c3 nonprofit that operates training programs for founders, investors, and communities. We also manage a for-profit, managed investment fund that provides early-stage capital to top graduates of each program, as selected by their peers. Our unique peer-selection model received McKinsey/Harvard Business Review’s prestigious M-Prize for innovation in 2013, and we have supported more than 550 enterprises across 51 programs in 9 countries. Since 2009, Village Capital has supported more than 1,000 entrepreneurs through our programs and partnered with affiliated investment funds, including VilCap Investments, that have invested seed capital in more than 90 program graduates. Over the past 8 years, our program graduates have gone on to generate $61.5M in revenue, reach 8.5 million customers, and create over 11,500 jobs. 96% of our alumni would recommend our program to other entrepreneurs, and to date and 91% of our entrepreneurs are still in business.",1_entrepreneurs_startup_startups_business,entrepreneurs - startup - startups - business - entrepreneurship - innovation - companies - founders - capital - venture
497,Help In Homework,"“Help in Homework” or helpinhomework.org is one of the best assignment help company consisting of team of assignment writing experts who provide solutions to all kind of homework. Essay writing, Paper writing, Questions and Answers, Accounting assignment writing, Mathematics, English, Biology assignment writing are among the 100+ other subjects that we can help with. Our Plagiarism free and A+ quality writing helps students to get high grades in academic subjects. Our help in homework makes students get success in their academic career.",15_writing_writers_essay_assignment,writing - writers - essay - assignment - academic - help - services - papers - service - paper
639,The O'Farrell Charter School,"The O'Farrell Charter School is a Year One Kindergarten through 12th grade school located in Skyline/Encanto in San Diego. We currently offer classes for Kindergarten through 11th grade. We have three Academies within our school site, Elementary, Middle and High School. We strive to provide a ""private school education"" in a public school setting. We are honored to teach our students as we know parents have a choice as to where to sent their child for their education.",16_school_academy_education_schools,school - academy - education - schools - students - charter - community - high - learning - programs
826,Irish Global Health Education Innovation,"iheed is an online medical education company that designs, develops, and delivers online accredited post-graduate education programs and degrees in partnership with medical universities. The company is built by doctors and healthcare professionals (HCPs) for doctors and healthcare professionals. iheed offers certificate, diploma, and Masters level education material to HCPs, packaged in modules. It utilizes technologies to offer the students a personalized, multi-sensory, multi-device learning experience suited to their learning style. Its programs and courses are adapted to the requirements of the healthcare system in different countries combining global best practice in medical training with local population healthcare needs.  Its programs and courses are aimed at addressing the broad topics of healthcare need for frontline HCPs globally such as diabetes, women’s health, neurodegenerative diseases, cardiology, travel medicine, infection control, emergency medicine, disaster planning, research methodologies, practice management, nursing and pharmacology, and more. The iheed Online Learning Environment (OLE) is a next generation cloud-based platform for online education supports interactive case-based learning methods, provides practical real-world education for practicing clinicians, and helps them build up their clinical, professional, and communication skills in patient consultation. It offers a number of features aimed at tutors and administrators such as rubrics, Speedgrader, and Turnitin to support tutors in reviewing and grading student assignments, extensive reporting and analytics, targeted messaging, and various views that enable tutors to identify students that are not keeping up with the instruction or meeting pre-defined learning thresholds. Tutors of iheed’s Tutor Network hold weekly, bi-monthly, and per topic tutorial discussions via the web conferencing system within the iheed OLE platform to ensure students are aware of what is expected of them each week, and to discuss the key learning points in the context of the students’ day-to-day practices.  iheed works in partnership with many medical universities, global health organizations, and technology companies, including University of Florida Health, Qualcomm, Hamad International Training Center, Johnson & Johnson, Health Human Resources Development Center, HP, Harvard School of Public Health, Tropical Medical Bureau, and Alliance Boots. Iheed was founded in 2010 and is based in Dublin, Ireland.",12_medical_healthcare_health_medicine,medical - healthcare - health - medicine - patients - care - clinical - doctors - physicians - education
1017,Assignment Service Co.uk,"Get Assignment Help on Any Topic by their Expert Writers Are you facing difficulties to select appropriate topic for writing assignments? Is it problematic task for you to locate authentic research sources to support your evidences? Or, you are struggling with compiling assignment in correct way according to the expectations of your lecturer? Are you looking online writing services in UK that can provide you extra help to keep your argument on track? – Assignment Service is the right place for you! Get proficient writing assistance from them on any topic and for every writing level, delivering accurately on tough deadlines, and complicated styles. How they Make Writing Process Easy? Assignment writing is not a walk in the park. However, many students spend numerous hours in front of their PCs struggling for even writing first draft of research. It is not just about length of your customized assignment that makes it so insufferable, it is also concerned with the quality of material and development of critical thinking capabilities teachers expect from you to achieve. Even if you manage to write assignment on a topic of your interest, it can purely be a torture. For past decades, there was no way to reduce the pressure of completing number of complex assignments---until now! Get Best Quality Assignment Writing Service! They offer superior quality writing, editing, formatting, and rewriting services to global customers at simply affordable prices: Work is done according to the specifications of customers Quality assurance and plagiarism scanned reports by professional writing experts Offering writing services at cheapest rates, outstanding discounts, and unmatched features Writing and formatting services in accordance with University standards of students Secure system to measure loss or misuse of your personal information Experts are 24/7 available for your assistance Experienced Academic & In House Writers They are always available with their team of expert writers to facilitate students with first hand services at reasonable prices. Their writers are dedicated and passionate in delivering original and quality research papers that are plagiarism free. They have team of expert authors, who have specialization on different fields and can help you easily to achieve good grades ensuring your success. Quality Work on Any Referencing Style They emphasize on preparing original and top quality work that accurately matches with academic needs of students. They make sure to never let students down through their work for which they offer writing facilities for varied referencing styles and citations. Therefore, you do not have to worry, as their specialists are familiar with many of common and rare styles such as MLA, APA, and Harvard.",15_writing_writers_essay_assignment,writing - writers - essay - assignment - academic - help - services - papers - service - paper
1057,Free Education Aid,"It is a knowledge sharing platform that provides information and helps the prospect get matched and connected to colleges in USA, universities in USA, community colleges in USA, different featured schools in USA, various online/campus-based degrees like undergraduate degrees, graduate degrees, post graduate degrees, online/offline certificate & diploma programs, study programs and free online courses. We also offer prospect the information about scholarships & grants, financial aid, military services, career development, career research, career advancement, planning and paying for your education. Prospect can get access to all educational level from High school to Post graduate degrees and in online as well as campus-based courses/degrees. Our website not only provides information about the Community colleges/Universities and colleges that provide campus-based degree/certificate programs but also helps prospect in locating/connecting with the best USA schools, universities and colleges that have made online education possible for working students or stay-at-home adults. We offer resources and information which helps them get matched with educational programs that best fits their personal, academic and career goals. Free Education Aid is a comprehensive guide that helps student/prospect choose from best educational study programs such as aviation, business, medical, trade, law, culinary arts, beauty, computer/IT, arts/design, health-care and education. We are dedicated to provide them excellent resources and useful information that helps to make an intelligent decision about choosing the best online/campus-based schools/colleges/universities and community colleges as well as degree/certificate programs which proves to be fruitful in fulfilling their professional goals. Due to the evolution and rapid expansion of internet, Distance learning also called as online education can lead prospect to high range of career opportunities by allowing them to work at their pace. We provide information and help them to connect with Free Online educational Courses (Open-Course ware) that have made the method of teaching and learning virtual and utmost convenient for students across the world. The best beneficial part of free online course is that the prospect can get enrolled from any corner of the globe without even getting relocated. We try our best to get you matched with various featured schools such as high school alternative, boarding schools, military schools, automotive schools, information technology schools, career schools, nursing schools, arts & design schools, engineering schools, legal and law enforcement schools, technical schools, computer schools, trade schools, business schools, teaching schools and beauty schools. Our full spectrum educational resource provides the prospect information and assistance on how to plan and pay for their education. We also provide career advancement; career research and career development related information and knowledge needed to secure the most rewarding opportunity which could ensure utmost success and growth in one’s career. For making the prospects search convenient we offer various search parameters such as search by zip code, search by name, search by degree and search by states which helps them to better target their search. Our education specialist offers variety of helps to the prospect in searching the best educational program/course that fits their career field as well as in getting them connected to the colleges/universities and community colleges in USA. We believe in Making Career aspirations a reality. Our mission is to reach and connect every prospect/student and provide them the best resources of education, knowledge and information which can help them in shaping their future, growth and career. The current strategic plan also focuses on providing information on quality education for development for one and all. Free Education Aid believes that Education is a fundamental human right, key to the development of individual as well as of society.",2_college_students_universities_university,college - students - universities - university - education - colleges - student - higher - campus - international
1095,Calder Global Networks,"Changing the way the world interacts, through innovation, technology and the people with Calder Cloud Personalization Engine, Calder SocialOS, and Calder Interactive Persona technologies. Calder Interactive Persona Technology- The Gartner Group has predicted that ""By 2015, 10 percent of your online ""friends"" will be nonhuman. Social media strategy involves several steps: establishing a presence, listening to theconversation, speaking (articulating a message), and, ultimately, interacting in a two-way, fully engaged manner. Thus far, many organizations have established a presence, and are mostly projecting messages through Twitter feeds and Facebook updates that are often only an incremental step up from RSS feeds. By 2015, efforts to systematize and automate social engagement will result in the rise of social bots â€” automated software agents that can handle, to varying degrees, interaction with communities of users in a manner personalized to each individual.   Our Calder Interactive Persona Technology is making that possible today everywhere, on your PC, mobile device, Television, and your car dashboard. Calder Interactive Persona makes finding gathering, and organizing information from the internet more human. Calder SocialOS Technology- Calder SocialOS (SOS) cures search overload and app overload, with  personalization anywhere and everywhere you access the internet (your car, tv, PC and mobile device. We offer universal connectivity through a new OS extension that gives the power to the user and universal control through the operating system. Calder SocialOS sets on top of any mobile and desktop OS  providing the user a new experience that totally changes how consumers feel when using the underlying operating system.  We provide a standardized open SocialOS layer that will offer an extensible interface that standardizes access to social networks and search facilities across machines, networks and infrastructure. Networks and social systems can be added simply via plug-ins to the provider interface. In a format that is consumer and enterprise administration friendly. Did you know that there are well over 15 million ""apps"" today for mobile and desktop computing devices today? Social Apps are causing fragmentation of information sources, and users have no filter or way to control the flow of information or what information we see via social network streams/feeds.  We have developed a new system that returns control to the user that makes using â€œappsâ€ optional, but through standardized social network data type plug-ins the OS has universal access to the sites youâ€™d normally access via an application, but with all of the standardized security  and personalized intelligent stream filtering per user.  We bring a consistent experience across data services and web sites via SOS and the Calder Interactive Persona that is business ""admin"" and consumer ""parent"" friendly. Privacy Concerns today are great. Users are stuck with whatever  privacy systems that are in-place per system in-web browser. We bring these streams into SOS and universally adjust privacy based on what the users needs are. SOS solves frustrations over data streams and organization lack of in-stream filtering and search capabilities that are universal over social networks by providing these capabilities.. Our solution is geared toward complete customization and synchronization over the cloud. learners need a system that allows them to not only collect and organize information, but also dynamically update and curate it. It should allow them to record their own insights about, and responses by others to, a particular thread such that it remains tied to the concerned topic and its organization... tree."" all via human voice interaction when combined with Calder Interactive Persona Technology. Multiple identity management systems that are confusing and proprietary even with Open ID and Open Data protocols.  We unify identity management across platforms and across systems via the â€œcloudâ€.  Including personal preferences management. We also provide synchronization, machine intelligence, and get you to the information you want anywhere you are at. Calder Cloud Personalization Engine - Calder Global Networks, has created an ecosystem around it's technologies (persona, search, infotainment and SocialOS) that allows ubiquitious computer wherever you are at. Thanks to our cloud personalization engine we can get at the information you want anywhere you are at (across systems (desktop, mobile, and auto and geographic locations).  Our new paradigm gets you the information you are looking for when you want it across space, time, devices and locations. Our technology is not just about synchronization and ubiquitous computing, but is also about revolutionizing search by putting a human interface to it, adding privacy and security, but also about getting to the information you want to know faster. Most search engines provide you with pages of information you have to sort through and take time to sift through to get to the information you want. Our new technology will change how we get your answers in a more human way thanks to our cloud computing technology. It also opens up an entirely new paradigm for custom advertising solutions. No more paid placements to distract you, just the information you want while also opening up a whole new medium for advertising.. Did you know that only about 6% of the world's knowldege is actually available from a web search engine ? Our search technology also bridges the gap betweeen internet search engines and internet data sources that are not available else where, in a meaningful directed way. Our solutions eliminate app overload and information fragmentation, getting the information you want whenver you want it, provide a new level of control over your information",14_video_users_content_videos,video - users - content - videos - knowledge - information - share - people - platform - social
1454,Central Valley Medical,"Central Valley Medical works to deliver quality medical education and training to doctors, nurses, teachers, parents, children themselves. Central Valley Medical also provide medical education, restricted healthcare plans for adult day programs, special education consulting, and online education.",12_medical_healthcare_health_medicine,medical - healthcare - health - medicine - patients - care - clinical - doctors - physicians - education
1522,Challenge Preparatory Charter School,"Challenge Preparatory Charter School is a high school that provides primary, middle, and high school education. Their mission is to prepare students for long-term success both inside and outside of the classroom by cultivating their intellectual, social, emotional, and ethical development. learning, As a school, they strive to foster a culture that inspires students, faculty, staff, parents, and community members that promotes learning and encourages collaboration.",16_school_academy_education_schools,school - academy - education - schools - students - charter - community - high - learning - programs
1573,Medical Exchange,Medical Exchange is an innovative provider of medical education solutions in the health care industry that brings together ground-breaking learning and networking solutions for physicians and patients to improve patient health. Medical Exchange’s first venture is collaborativeCARE Conference (C3).,12_medical_healthcare_health_medicine,medical - healthcare - health - medicine - patients - care - clinical - doctors - physicians - education
